step,policy,seed,failure_scenario,coverage,active_drones,mean_energy,hives,connected_hive_fraction,exploration_depth
136,carrier_only,7,0,0.41388888888888886,11,1.8830387330395757,1,1.0,102.30235484310883
137,carrier_only,7,0,0.4149305555555556,10,1.639216488954553,1,1.0,102.30235484310883
138,carrier_only,7,0,0.41550925925925924,8,1.5411590212653097,1,1.0,102.30235484310883
139,carrier_only,7,0,0.4167824074074074,7,1.377110454274303,1,1.0,102.30235484310883
140,carrier_only,7,0,0.41747685185185185,5,1.4328976304245833,1,1.0,102.30235484310883
141,carrier_only,7,0,0.41782407407407407,4,1.3759122111766815,1,1.0,102.30235484310883
142,carrier_only,7,0,0.4179398148148148,4,0.9595859360069511,1,1.0,102.30235484310883
143,carrier_only,7,0,0.418287037037037,4,0.563089277767724,1,1.0,102.30235484310883
144,carrier_only,7,0,0.41875,2,0.36503654209963404,1,1.0,102.30235484310883
145,carrier_only,7,0,0.41909722222222223,1,0.03456954259794609,1,1.0,102.30235484310883
146,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
147,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
148,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
149,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
150,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
151,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
152,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
153,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
154,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
155,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
156,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
157,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
158,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
159,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
160,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
161,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
162,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
163,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
